Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,33.1061,Invalid
TST-0006,18.7507,Valid
TST-0047,62.3798,Valid
TST-0311,25.2533,Valid
TST-0264,18.5521,Invalid
TST-0169,21.5159,Valid
TST-0269,18.4536,Valid
TST-0178,22.7979,Invalid
TST-0206,32.8879,Valid
TST-0038,17.746,Valid
TST-0213,10.9971,Valid
TST-0309,16.336,Valid
TST-0059,33.4722,Valid
TST-0159,19.5281,Valid
TST-0235,19.8169,Valid
TST-0230,20.998,Valid
TST-0323,36.0991,Valid
TST-0262,18.538,Valid
TST-0274,13.3217,Valid
TST-0214,49.2224,Valid
TST-0024,40.724,Valid
TST-0234,17.5241,Valid
TST-0333,22.3324,Valid
TST-0060,20.4221,Valid
TST-0226,36.6064,Valid
TST-0197,17.1684,Valid
TST-0346,41.4085,Valid
TST-0192,25.6766,Valid
TST-0141,29.5219,Valid
TST-0222,43.832,Invalid
TST-0232,19.5825,Valid
TST-0085,23.1606,Valid
TST-0237,32.6655,Valid
TST-0001,37.8303,Valid
TST-0069,17.8122,Valid
TST-0272,23.8437,Valid
TST-0343,33.5032,Valid
TST-0320,26.6113,Valid
TST-0008,28.0234,Invalid
TST-0144,23.0909,Valid
TST-0184,22.9592,Valid
TST-0107,59.6061,Valid
TST-0026,42.2498,Valid
TST-0164,42.3812,Valid
TST-0217,32.3275,Valid
TST-0332,33.0415,Valid
TST-0279,22.325,Valid
TST-0243,18.9052,Valid
TST-0163,21.7731,Valid
TST-0131,29.0829,Valid
TST-0070,16.222,Valid
TST-0137,19.6478,Valid
TST-0210,29.7338,Valid
TST-0288,20.2303,Valid
TST-0248,18.1663,Valid
TST-0277,21.28,Valid
TST-0215,21.1666,Valid
TST-0138,16.486,Valid
TST-0228,17.3407,Valid
TST-0252,48.8917,Valid
TST-0205,30.5544,Valid
TST-0348,22.0854,Valid
TST-0177,23.8961,Valid
TST-0267,37.2585,Valid
TST-0308,23.4221,Valid
TST-0087,48.4464,Valid
TST-0117,16.7415,Valid
TST-0014,18.1044,Valid
TST-0154,23.3435,Valid
TST-0207,46.8883,Valid
TST-0187,20.8864,Valid
TST-0236,21.2375,Valid
TST-0283,37.0889,Valid
TST-0089,18.2509,Valid
TST-0202,20.7573,Valid
TST-0160,18.2284,Valid
TST-0036,24.5039,Valid
TST-0275,47.9693,Valid
TST-0023,34.3795,Valid
TST-0091,43.0259,Valid
TST-0151,44.0421,Valid
TST-0310,24.0464,Valid
TST-0239,14.5926,Valid
TST-0331,32.2567,Valid
TST-0316,12.8679,Valid
TST-0338,14.0708,Valid
TST-0019,19.7677,Valid
TST-0168,14.0829,Valid
TST-0007,18.22,Valid
TST-0211,32.3779,Valid
TST-0016,35.3878,Valid
TST-0027,12.6154,Valid
TST-0031,15.4118,Invalid
TST-0249,27.3198,Valid
TST-0011,15.8883,Valid
TST-0080,22.7347,Valid
TST-0121,16.3726,Valid
TST-0266,19.7327,Valid
TST-0198,22.2647,Valid
TST-0067,31.7349,Valid
TST-0102,21.8169,Valid
TST-0005,37.3084,Valid
TST-0003,29.123,Valid
TST-0132,43.027,Valid
TST-0029,25.3948,Valid
TST-0221,30.3506,Valid
TST-0099,17.7176,Valid
TST-0062,17.4364,Valid
TST-0095,25.5998,Valid
TST-0126,16.9656,Valid
TST-0034,49.563,Valid
TST-0103,15.6882,Valid
TST-0245,22.3166,Valid
TST-0058,50.1296,Valid
TST-0065,25.7823,Valid
TST-0086,19.1143,Valid
TST-0342,20.295,Valid
TST-0335,17.5864,Valid
TST-0180,16.0212,Invalid
TST-0294,19.7619,Invalid
TST-0072,20.333,Valid
TST-0315,48.4661,Valid
TST-0182,44.9899,Valid
